@relation Snake_Game-weka.filters.unsupervised.attribute.Remove-R120-124-weka.filters.unsupervised.attribute.Remove-R59-118

@attribute snake_body_pos-30_-30 {0,1,2}
@attribute snake_body_pos-20_-30 {0,1,2}
@attribute snake_body_pos-10_-30 {0,1,2}
@attribute snake_body_pos0_-30 {0,1,2}
@attribute snake_body_pos10_-30 {0,1,2}
@attribute snake_body_pos20_-30 {0,1,2}
@attribute snake_body_pos30_-30 {0,1,2}
@attribute snake_body_pos-30_-20 {0,1,2}
@attribute snake_body_pos-20_-20 {0,1,2}
@attribute snake_body_pos-10_-20 {0,1,2}
@attribute snake_body_pos0_-20 {0,1,2}
@attribute snake_body_pos10_-20 {0,1,2}
@attribute snake_body_pos20_-20 {0,1,2}
@attribute snake_body_pos30_-20 {0,1,2}
@attribute snake_body_pos-30_-10 {0,1,2}
@attribute snake_body_pos-20_-10 {0,1,2}
@attribute snake_body_pos-10_-10 {0,1,2}
@attribute snake_body_pos0_-10 {0,1,2}
@attribute snake_body_pos10_-10 {0,1,2}
@attribute snake_body_pos20_-10 {0,1,2}
@attribute snake_body_pos30_-10 {0,1,2}
@attribute snake_body_pos-30_0 {0,1,2}
@attribute snake_body_pos-20_0 {0,1,2}
@attribute snake_body_pos-10_0 {0,1,2}
@attribute snake_body_pos0_0 {0,1,2}
@attribute snake_body_pos10_0 {0,1,2}
@attribute snake_body_pos20_0 {0,1,2}
@attribute snake_body_pos30_0 {0,1,2}
@attribute snake_body_pos-30_10 {0,1,2}
@attribute snake_body_pos-20_10 {0,1,2}
@attribute snake_body_pos-10_10 {0,1,2}
@attribute snake_body_pos0_10 {0,1,2}
@attribute snake_body_pos10_10 {0,1,2}
@attribute snake_body_pos20_10 {0,1,2}
@attribute snake_body_pos30_10 {0,1,2}
@attribute snake_body_pos-30_20 {0,1,2}
@attribute snake_body_pos-20_20 {0,1,2}
@attribute snake_body_pos-10_20 {0,1,2}
@attribute snake_body_pos0_20 {0,1,2}
@attribute snake_body_pos10_20 {0,1,2}
@attribute snake_body_pos20_20 {0,1,2}
@attribute snake_body_pos30_20 {0,1,2}
@attribute snake_body_pos-30_30 {0,1,2}
@attribute snake_body_pos-20_30 {0,1,2}
@attribute snake_body_pos-10_30 {0,1,2}
@attribute snake_body_pos0_30 {0,1,2}
@attribute snake_body_pos10_30 {0,1,2}
@attribute snake_body_pos20_30 {0,1,2}
@attribute snake_body_pos30_30 {0,1,2}
@attribute head_pos_x numeric
@attribute head_pos_y numeric
@attribute food_pos_x numeric
@attribute food_pos_y numeric
@attribute score numeric
@attribute distance_food_x numeric
@attribute distance_food_y numeric
@attribute distance_wall_down numeric
@attribute distance_wall_right numeric
@attribute last_direction {1,2,3,4}
@attribute actual_direction {1,2,3,4}

@data
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120,180,380,420,-15,-260,-240,300,360,4,4
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130,180,380,420,-16,-250,-240,300,350,4,4
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140,180,380,420,-17,-240,-240,300,340,4,4
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150,180,380,420,-18,-230,-240,300,330,4,4
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,160,180,380,420,-19,-220,-240,300,320,4,4
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,160,190,380,420,-20,-220,-230,290,320,4,2
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,160,200,380,420,-21,-220,-220,280,320,2,2
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,160,210,380,420,-22,-220,-210,270,320,2,2
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,160,220,380,420,-23,-220,-200,260,320,2,2
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,160,230,380,420,-24,-220,-190,250,320,2,2
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,160,240,380,420,-25,-220,-180,240,320,2,2
